MyUnknownColumn,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
204,male,,bachelor's degree,free/reduced,,married,sometimes,yes,4,school_bus,5 - 10,82,88,91
701,male,group A,master's degree,free/reduced,none,divorced,sometimes,no,2,school_bus,< 5,48,48,42
41,male,group D,bachelor's degree,standard,none,divorced,sometimes,yes,4,school_bus,5 - 10,74,66,72
261,female,group D,some college,standard,none,single,sometimes,no,2,school_bus,< 5,64,71,71
48,female,group C,associate's degree,standard,completed,married,regularly,,1,private,> 10,91,99,100
331,female,group A,high school,standard,none,married,regularly,yes,2,school_bus,< 5,37,52,53
57,female,group E,bachelor's degree,free/reduced,none,married,never,no,1,school_bus,5 - 10,62,71,69
804,male,group E,some college,standard,none,married,sometimes,no,2,private,< 5,88,77,80
187,female,group B,bachelor's degree,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,63,57,68
887,male,group A,associate's degree,standard,completed,divorced,sometimes,yes,0,,< 5,70,60,63
352,male,group C,high school,standard,completed,married,regularly,no,3,school_bus,5 - 10,80,73,76
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,5 - 10,56,73,66
898,female,group C,,standard,none,divorced,sometimes,yes,1,school_bus,5 - 10,63,69,69
775,female,group C,high school,standard,none,married,never,yes,4,,5 - 10,65,70,65
600,female,group B,high school,free/reduced,none,married,regularly,yes,0,private,5 - 10,44,50,48
919,female,group B,master's degree,standard,none,single,sometimes,no,5,private,5 - 10,77,77,80
308,male,group E,some college,free/reduced,,married,regularly,no,3,private,< 5,75,71,68
292,female,group B,,free/reduced,none,widowed,never,yes,1,school_bus,5 - 10,57,64,64
417,female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,66,69,72
983,male,group E,bachelor's degree,standard,completed,single,regularly,no,1,private,5 - 10,83,74,76
319,female,group D,some college,standard,none,single,regularly,no,3,,< 5,96,99,97
456,male,group E,some college,standard,completed,divorced,regularly,yes,3,,5 - 10,100,100,100
608,female,,some college,standard,,divorced,never,yes,0,private,5 - 10,59,63,60
468,male,group B,high school,standard,none,,sometimes,,4,private,5 - 10,72,71,70
894,male,group C,master's degree,free/reduced,completed,divorced,sometimes,no,4,private,< 5,53,60,58
48,male,group B,some high school,free/reduced,none,married,regularly,yes,0,school_bus,> 10,38,39,37
237,male,group B,high school,standard,none,single,sometimes,no,1,,5 - 10,67,64,56
735,male,group C,bachelor's degree,standard,none,married,sometimes,yes,1,private,5 - 10,61,57,53
895,female,group C,some high school,standard,none,married,never,yes,1,private,5 - 10,67,78,71
369,female,group A,,standard,none,divorced,sometimes,yes,3,private,5 - 10,85,87,87
710,male,group E,bachelor's degree,standard,none,divorced,regularly,,2,private,> 10,80,69,66
826,female,group D,some college,standard,none,married,regularly,no,3,school_bus,5 - 10,64,63,72
727,female,group C,high school,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,64,71,70
826,male,group C,some high school,standard,completed,married,sometimes,yes,3,private,5 - 10,78,77,75
866,female,group C,high school,free/reduced,none,married,sometimes,yes,2,school_bus,5 - 10,53,67,68
88,male,,high school,standard,none,married,sometimes,no,1,school_bus,5 - 10,60,60,59
724,female,group C,bachelor's degree,standard,completed,married,never,yes,2,private,> 10,64,79,85
740,female,group C,high school,standard,completed,single,never,yes,3,school_bus,> 10,91,99,99
848,male,group B,some college,standard,none,divorced,sometimes,yes,1,private,5 - 10,72,71,63
536,male,group A,some high school,standard,none,married,sometimes,yes,1,school_bus,5 - 10,82,65,64
602,female,group D,high school,standard,,married,regularly,no,3,school_bus,< 5,56,59,60
989,male,group C,some college,standard,completed,single,sometimes,yes,0,school_bus,< 5,54,55,61
668,male,group C,associate's degree,free/reduced,completed,single,never,,0,private,> 10,78,69,72
759,male,group C,associate's degree,standard,none,married,sometimes,no,4,private,5 - 10,88,87,83
906,male,group C,some high school,standard,completed,single,sometimes,yes,4,school_bus,> 10,59,49,48
282,female,group C,some high school,standard,none,single,never,,0,school_bus,< 5,35,45,50
422,female,group C,high school,standard,completed,married,sometimes,yes,1,school_bus,5 - 10,50,64,66
257,female,group C,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,63,66,64
668,male,group B,some high school,standard,none,divorced,sometimes,yes,0,private,< 5,66,67,61
195,male,group D,bachelor's degree,standard,completed,married,regularly,yes,0,school_bus,5 - 10,100,98,95
429,male,group B,high school,free/reduced,none,single,regularly,no,1,school_bus,< 5,60,59,56
147,female,group E,master's degree,standard,,married,sometimes,yes,2,school_bus,5 - 10,81,84,79
841,male,group C,some college,standard,completed,single,sometimes,yes,1,school_bus,> 10,98,90,85
710,female,group D,associate's degree,free/reduced,none,married,sometimes,no,4,school_bus,< 5,32,46,47
911,male,group D,some college,standard,none,married,sometimes,yes,1,school_bus,5 - 10,98,84,85
355,female,group C,some college,free/reduced,none,single,sometimes,yes,1,school_bus,> 10,51,66,67
807,female,group C,master's degree,standard,none,married,sometimes,yes,3,school_bus,< 5,78,90,88
434,female,group D,some high school,standard,,married,sometimes,yes,1,school_bus,5 - 10,54,56,52
4,female,group C,associate's degree,free/reduced,none,married,regularly,yes,3,,> 10,66,89,80
261,male,group C,high school,free/reduced,none,divorced,regularly,yes,0,school_bus,5 - 10,59,60,55
382,female,group D,bachelor's degree,standard,completed,single,sometimes,yes,2,,< 5,69,83,89
463,female,group A,high school,standard,completed,married,regularly,no,4,,5 - 10,72,73,80
797,male,group E,master's degree,standard,none,married,regularly,yes,2,private,5 - 10,86,81,83
767,male,group E,high school,standard,completed,single,never,yes,3,private,> 10,75,71,72
192,female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,school_bus,5 - 10,45,57,56
38,male,group C,some college,standard,completed,married,never,yes,4,school_bus,5 - 10,81,83,78
669,male,group D,,standard,none,married,sometimes,no,1,school_bus,< 5,62,52,50
305,male,group D,high school,standard,none,,regularly,yes,0,school_bus,5 - 10,90,81,79
671,female,group C,high school,free/reduced,,married,sometimes,no,1,,> 10,66,75,70
976,female,group D,some high school,standard,,divorced,sometimes,yes,2,private,5 - 10,89,91,99
186,female,group C,some college,free/reduced,none,single,sometimes,no,2,school_bus,< 5,70,81,76
928,female,group A,some college,standard,none,married,sometimes,no,3,school_bus,5 - 10,52,65,70
908,male,group E,some college,standard,completed,divorced,sometimes,no,1,private,> 10,100,87,96
861,male,group B,master's degree,free/reduced,completed,married,sometimes,yes,1,,< 5,76,78,83
768,female,group B,master's degree,free/reduced,completed,single,regularly,yes,2,school_bus,5 - 10,59,79,88
653,male,group D,,free/reduced,completed,married,never,yes,3,school_bus,5 - 10,55,59,49
419,female,group D,bachelor's degree,free/reduced,none,married,regularly,no,1,,5 - 10,62,72,78
104,female,group D,high school,free/reduced,completed,single,regularly,no,1,private,< 5,79,92,96
662,female,group C,some college,standard,none,married,regularly,no,3,private,,38,48,52
254,female,group E,bachelor's degree,standard,none,married,sometimes,no,2,private,5 - 10,87,89,90
710,female,,some college,free/reduced,,single,never,yes,2,school_bus,> 10,50,65,66
228,male,group C,associate's degree,standard,completed,married,sometimes,yes,3,private,> 10,72,82,83
508,male,group B,some college,standard,none,divorced,never,no,2,school_bus,< 5,70,66,67
843,female,group B,high school,standard,none,married,sometimes,yes,3,school_bus,> 10,65,76,65
625,male,group D,some college,standard,completed,married,regularly,yes,0,,< 5,99,96,99
934,male,group D,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,79,83,76
441,female,group A,some high school,free/reduced,none,single,never,yes,1,school_bus,5 - 10,58,65,58
690,male,group A,bachelor's degree,free/reduced,none,divorced,sometimes,no,2,private,5 - 10,27,32,26
254,male,group C,some college,free/reduced,none,married,sometimes,no,1,private,5 - 10,61,58,59
871,female,group C,some high school,free/reduced,none,married,sometimes,,2,school_bus,< 5,38,68,64
